3474;16255;53134;16255;13905;16255;14;16256;16398;16256
65533;16255;57435;16254;60372;16256;11658;16257;9538;16258
45788;16258;60446;16259;45906;16255;23156;16257;43989;16257
35380;16257;41095;16250;12792;16258;18664;16258;64765;16257
40630;16259;6279;16258;34243;16260;34201;16260;45780;16256
19273;16249;50481;16255;51319;16255;28050;16260;38206;16260
50506;16255;44450;16260;47044;16255;48094;16260;47264;16260
588;16255;7625;16255;26902;16252;27783;16255;33287;16260
52403;16254;49635;16255;19117;16255;16025;16255;6217;16255
3865;16255;19414;16249;31735;16259;16874;16259;48302;16257
9327;16255;4933;16255;6179;16255;2349;16255;37242;16259
24577;16259;25606;16259;20261;16259;34294;16259;20247;16259
20278;16259;47815;16259;47038;16259;47607;16259;20277;16260
46890;16259;47420;16259;42137;16255;28427;16255;51663;16255
52440;16255;53037;16255;53508;16255;40829;16252;3340;16260
53425;16255;5170;16254;58311;16257;35532;16251;10152;16252
50962;16251;20627;16255;22807;16255;23567;16255;21883;16255
27874;16257;51060;16255;54689;16255;2630;16253;12749;16253
27065;16253;5586;16252;52661;16252;9248;16259;0;16256
27058;16256;7627;16255;45923;16255;35386;49942;27753;49942
33676;49942;17088;49942;59183;49941;17095;49942;37286;49942
12675;49941;62698;49940;43337;49940;34969;49940;14949;49940
30911;49942;58829;49940;51835;49940;54722;49940;16956;49943
42809;49940;41416;49940;46153;49940;20052;49940;44354;49940
4075;49940;4091;49940;26451;49941;31028;49943;29865;49942
29649;49942;5885;49940;2914;49940;29860;49942;1096;49940
30663;49942;65499;49939;225;49940;37893;49942;36988;49942
63494;49942;34084;49942;4358;49940;38112;49942;30072;49942
35405;49942;35857;49942;37168;49942;37473;49942;31009;49943
22289;49940;26045;49940;50394;49940;36769;49942;37335;49942
37175;49942;37669;49942;20901;49940;24090;49940;23831;49940
25186;49940;21642;49940;25192;49940;25183;49940;18222;49940
18439;49940;18284;49940;8112;49940;18475;49940;18339;49940
29028;49942;31287;49942;27599;49942;27684;49942;27769;49942
27839;49942;61247;49942;12748;49940;29057;49942;45830;49942
47804;49940;7202;49943;666;49943;4689;49943;35180;49942
34851;49942;34734;49942;34991;49942;57241;49940;27559;49942
28236;49942;56837;49942;55206;49942;52899;49942;1407;49943
59338;49942;27962;49940;0;0;44348;49941;36989;49942
30916;49942;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0
